"","kinds","efficiency","frequency","time","totaltime"
"1","diancilu",1500,60,0.625,37.5
"2","diancilu",1250,4,1.5,6
"3","dianfanguo",NA,30,0.625,18.75
"4","dianfanguo",850,30,0.875,26.25
"5","diancilu",1250,30,0.25,7.5
"6","dianfanguo",300,60,0.625,37.5
"7","diancilu",1500,12,0.25,3
"8","dianshuihu",1500,8,0.25,2
"9","diancilu",NA,12,0.625,7.5
"10","diancilu",1500,90,0.25,22.5
"11","dianshuihu",1500,60,0.25,15
"12","diancilu",1500,30,0.625,18.75
"13","diancilu",1500,90,0.375,33.75
"14","dianfanguo",600,12,0.375,4.5
"15","dianfanguo",850,30,0.625,18.75
"16","dianshuihu",300,30,0.25,7.5
"17","diancilu",1500,20,0.625,12.5
"18","dianfanguo",1500,90,0.625,56.25
"19","diancilu",1250,90,0.875,78.75
"20","diancilu",1250,60,0.625,37.5
"21","diancilu",1250,30,0.375,11.25
"22","dianfanguo",300,30,0.375,11.25
"23","diancilu",NA,30,0.875,26.25
"24","diancilu",1500,30,0.625,18.75
"25","diancilu",400,12,0.625,7.5
"26","diancilu",1500,8,1.5,12
"27","dianfanguo",NA,30,0.625,18.75
"28","diancilu",NA,0,NA,NA
"29","diancilu",NA,20,0.25,5
"30","dianfanguo",300,30,0.375,11.25
"31","dianfanguo",1500,30,0.375,11.25
"32","dianfanguo",400,60,0.375,22.5
"33","diancilu",850,30,0.625,18.75
"34","dianfanguo",1250,30,0.625,18.75
"35","diancilu",1250,20,3,60
"36","weibolu",NA,8,0.25,2
"37","dianshuihu",1250,90,0.25,22.5
"38","dianshuihu",1250,90,0.25,22.5
"39","dianfanguo",850,60,0.625,37.5
"40","weibolu",1500,60,0.375,22.5
"41","gaoyaguo",NA,20,0.375,7.5
"42","gaoyaguo",NA,30,0.375,11.25
"43","dianshuihu",400,90,1.5,135
"44","dianshuihu",1500,20,0.25,5
"45","diancilu",1500,90,0.625,56.25
"46","diancilu",1250,90,0.875,78.75
"47","dianfanguo",1250,60,0.875,52.5
"48","diancilu",1250,90,0.625,56.25
"49","diancilu",NA,90,0.875,78.75
"50","diancilu",1250,20,0.625,12.5
"51","dianshuihu",NA,60,0.625,37.5
"52","diancilu",850,90,0.375,33.75
"53","diancilu",NA,60,0.625,37.5
"54","diancilu",NA,60,0.25,15
"55","diancilu",NA,60,0.625,37.5
"56","diancilu",NA,12,0.25,3
"57","diancilu",1500,90,0.875,78.75
"58","dianfanguo",NA,60,0.875,52.5
"59","diancilu",NA,30,0.625,18.75
"60","diancilu",1500,90,0.625,56.25
"61","diancilu",1500,90,0.875,78.75
"62","dianfanguo",300,90,0.625,56.25
"63","diancilu",1250,30,0.375,11.25
"64","diancilu",1500,90,0.375,33.75
"65","diancilu",NA,90,0.375,33.75
"66","diancilu",NA,90,0.375,33.75
"67","diancilu",1500,90,0.375,33.75
"68","diancilu",1250,90,0.375,33.75
"69","dianfanguo",850,60,0.625,37.5
"70","diancilu",NA,90,0.375,33.75
"71","dianfanguo",850,30,0.375,11.25
"72","diancilu",NA,NA,0.625,NA
"73","dianfanguo",NA,30,0.625,18.75
"74","diancilu",1500,60,0.625,37.5
"75","diancilu",1500,90,0.625,56.25
"76","dianfanguo",1250,4,0.625,2.5
"77","diancilu",1250,90,0.625,56.25
"78","diancilu",1500,90,0.625,56.25
"79","diancilu",1500,60,0.625,37.5
"80","diancilu",850,90,0.625,56.25
"81","diancilu",600,90,0.375,33.75
"82","diancilu",1500,90,0.875,78.75
"83","diancilu",850,90,0.625,56.25
"84","diancilu",1500,90,0.625,56.25
"85","diancilu",1500,90,0.625,56.25
"86","diancilu",1250,60,0.375,22.5
"87","diancilu",850,60,0.375,22.5
"88","diancilu",1500,90,0.875,78.75
"89","diancilu",1250,60,0.625,37.5
"90","diancilu",NA,90,0.875,78.75
"91","diancilu",1500,90,0.625,56.25
"92","diancilu",1500,90,0.875,78.75
"93","diancilu",1500,60,0.25,15
"94","diancilu",1500,60,0.625,37.5
"95","diancilu",1500,90,0.875,78.75
"96","diancilu",1250,4,0.25,1
"97","diancilu",1500,60,0.625,37.5
"98","diancilu",1250,60,0.875,52.5
"99","diancilu",600,60,0.625,37.5
"100","diancilu",1250,90,0.625,56.25
"101","dianfanguo",400,20,0.875,17.5
"102","diancilu",1500,60,0.625,37.5
"103","diancilu",850,90,0.625,56.25
"104","diancilu",NA,90,0.875,78.75
"105","diancilu",NA,60,0.625,37.5
"106","dianfanguo",850,90,0.625,56.25
"107","diancilu",1500,90,0.875,78.75
"108","diancilu",300,30,0.375,11.25
"109","diancilu",1500,90,0.625,56.25
"110","diancilu",1500,90,0.875,78.75
"111","diancilu",1500,60,0.625,37.5
"112","diancilu",1500,90,0.625,56.25
"113","diancilu",1500,90,1.5,135
"114","diancilu",NA,90,0.625,56.25
"115","diancilu",1500,90,0.625,56.25
"116",NA,400,12,0.25,3
"117","dianfanguo",850,60,0.625,37.5
"118","dianfanguo",1500,30,0.375,11.25
"119",NA,1500,90,0.625,56.25
"120","dianfanguo",300,60,0.375,22.5
"121","dianfanguo",300,90,0.375,33.75
"122",NA,400,30,0.375,11.25
"123","dianfanguo",600,12,0.375,4.5
"124","gaoyaguo",400,30,0.375,11.25
"125","diancilu",400,30,0.875,26.25
"126","diancilu",1500,60,0.25,15
"127","diancilu",NA,90,1.5,135
"128","dianfanguo",850,60,0.625,37.5
"129","diancilu",850,90,0.625,56.25
"130","dianfanguo",600,30,0.625,18.75
"131","diancilu",1500,20,0.625,12.5
"132","dianfanguo",1500,30,0.625,18.75
"133","dianfanguo",600,12,0.375,4.5
"134","dianfanguo",400,90,0.375,33.75
"135","diancilu",850,90,0.875,78.75
"136","dianfanguo",850,30,0.625,18.75
"137","dianshuihu",1250,60,0.25,15
"138","dianfanguo",600,60,0.375,22.5
"139","diancilu",400,60,0.375,22.5
"140","diancilu",1500,90,1.5,135
"141","dianshuihu",300,12,0.25,3
"142","diancilu",1250,60,0.625,37.5
"143","dianfanguo",1250,60,0.625,37.5
"144","diancilu",600,60,0.625,37.5
"145","diancilu",1500,60,0.375,22.5
"146","diancilu",850,60,0.375,22.5
"147","dianfanguo",850,60,0.625,37.5
"148","diancilu",1250,90,0.375,33.75
"149","dianshuihu",1500,30,0.375,11.25
"150","dianfanguo",1250,60,0.375,22.5
"151","diancilu",1250,30,0.375,11.25
"152","diancilu",600,60,0.625,37.5
"153","diancilu",1250,60,0.375,22.5
"154","dianfanguo",850,60,0.625,37.5
"155","dianfanguo",NA,90,0.375,33.75
"156","diancilu",1250,30,0.375,11.25
"157","diancilu",850,8,0.375,3
"158","dianfanguo",850,30,0.625,18.75
"159","diancilu",1250,60,0.375,22.5
"160","dianfanguo",850,60,0.625,37.5
"161","gaoyaguo",850,60,0.375,22.5
"162","gaoyaguo",600,60,0.375,22.5
"163","diancilu",1250,30,0.375,11.25
"164","diancilu",300,60,0.625,37.5
"165","dianfanguo",600,20,0.625,12.5
"166","dianfanguo",600,90,0.375,33.75
"167","diancilu",1250,90,0.375,33.75
"168","diancilu",1250,60,0.375,22.5
"169","diancilu",1250,60,0.625,37.5
"170","diancilu",400,60,0.625,37.5
"171","diancilu",NA,60,0.875,52.5
"172","diancilu",1500,90,0.375,33.75
"173","dianfanguo",300,60,0.375,22.5
"174","dianfanguo",300,60,0.375,22.5
"175","dianfanguo",850,90,0.375,33.75
"176","dianfanguo",850,60,0.625,37.5
"177","diancilu",1250,90,0.375,33.75
"178","diancilu",1500,90,0.625,56.25
"179","diancilu",1500,90,0.625,56.25
"180","diancilu",NA,90,0.375,33.75
"181","dianfanguo",1500,60,0.625,37.5
"182","diancilu",1500,90,1.5,135
"183","diancilu",1500,90,0.625,56.25
"184","diancilu",1500,60,0.375,22.5
"185","dianfanguo",NA,20,0.875,17.5
"186","dianfanguo",1500,90,1.5,135
"187","dianfanguo",300,30,0.375,11.25
"188","diancilu",1250,60,0.375,22.5
"189","dianfanguo",1250,90,0.875,78.75
"190","dianfanguo",NA,20,0.375,7.5
"191","diancilu",NA,30,0.375,11.25
"192","dianfanguo",1250,30,0.625,18.75
"193","dianfanguo",850,90,0.625,56.25
"194","dianfanguo",NA,30,0.375,11.25
"195","dianfanguo",NA,90,0.625,56.25
"196","diancilu",1500,90,0.375,33.75
"197","dianfanguo",NA,60,0.375,22.5
"198","dianfanguo",850,60,0.375,22.5
"199","dianfanguo",600,4,NA,NA
"200","diancilu",NA,90,0.375,33.75
"201","dianfanguo",600,30,0.375,11.25
"202","dianfanguo",NA,90,0.375,33.75
"203","dianfanguo",1500,90,0.625,56.25
"204","diancilu",NA,90,0.375,33.75
"205","dianshuihu",850,90,0.375,33.75
"206","dianshuihu",850,30,0.25,7.5
"207",NA,300,20,0.25,5
"208","diancilu",1250,90,0.375,33.75
"209","dianfanguo",600,60,0.375,22.5
"210","gaoyaguo",1250,90,0.375,33.75
"211","dianfanguo",850,90,0.375,33.75
"212","dianshuihu",300,90,0.25,22.5
"213","diancilu",NA,60,0.375,22.5
"214","dianfanguo",1500,60,0.375,22.5
"215","dianfanguo",NA,90,0.375,33.75
"216","dianfanguo",400,60,0.375,22.5
"217","diancilu",1500,30,0.625,18.75
"218","dianfanguo",NA,90,0.375,33.75
"219","dianfanguo",1500,60,0.625,37.5
"220",NA,300,60,0.375,22.5
"221","dianfanguo",300,60,0.625,37.5
"222","diancilu",300,30,0.375,11.25
"223","dianfanguo",850,60,0.375,22.5
"224","dianshuihu",1500,60,0.25,15
"225","dianfanguo",1250,30,0.625,18.75
"226","diancilu",850,90,NA,NA
"227","dianfanguo",600,60,0.375,22.5
"228","diancilu",1500,20,0.375,7.5
"229","dianfanguo",1250,30,0.875,26.25
"230","diancilu",NA,60,0.375,22.5
"231","dianfanguo",850,30,0.625,18.75
"232","dianfanguo",NA,90,0.625,56.25
"233","dianfanguo",NA,90,0.375,33.75
"234","diancilu",NA,90,0.375,33.75
"235","diancilu",1250,90,0.625,56.25
"236","dianfanguo",NA,30,6,180
"237","dianfanguo",1250,60,0.625,37.5
"238","diancilu",1500,90,0.375,33.75
"239","dianfanguo",600,30,0.875,26.25
"240","dianfanguo",600,30,0.375,11.25
"241","dianshuihu",300,90,0.25,22.5
"242","dianfanguo",300,30,0.875,26.25
"243","dianfanguo",1500,60,0.375,22.5
"244","dianfanguo",400,30,0.375,11.25
"245","dianfanguo",NA,60,0.375,22.5
"246","diancilu",1250,60,0.375,22.5
"247","dianfanguo",850,60,0.625,37.5
"248","dianfanguo",300,90,0.375,33.75
"249","dianfanguo",850,60,0.375,22.5
"250","dianfanguo",850,30,0.375,11.25
"251","dianfanguo",NA,60,0.375,22.5
"252",NA,300,20,0.25,5
"253","diancilu",1250,60,0.625,37.5
"254","diancilu",1500,90,1.5,135
"255","dianfanguo",300,30,0.625,18.75
"256","dianfanguo",1250,30,0.625,18.75
"257","diancilu",1250,30,0.875,26.25
"258","dianfanguo",NA,20,0.625,12.5
"259","dianfanguo",NA,30,0.375,11.25
"260",NA,NA,NA,NA,NA
"261","dianfanguo",850,30,0.625,18.75
"262","dianfanguo",NA,30,0.625,18.75
"263","dianfanguo",NA,60,0.625,37.5
"264","dianfanguo",NA,30,0.375,11.25
"265","diancilu",1250,90,0.625,56.25
"266","dianfanguo",400,90,0.375,33.75
"267","dianfanguo",300,60,0.375,22.5
"268","dianfanguo",850,60,0.625,37.5
"269","dianshuihu",300,90,0.25,22.5
"270","dianfanguo",600,30,0.625,18.75
"271","dianfanguo",400,90,0.375,33.75
"272","dianfanguo",300,30,0.375,11.25
"273","dianfanguo",600,90,0.375,33.75
"274","dianfanguo",600,90,0.375,33.75
"275","diancilu",1250,60,0.375,22.5
"276","diancilu",1250,60,0.625,37.5
"277","gaoyaguo",NA,30,0.625,18.75
"278","dianfanguo",400,90,0.375,33.75
"279","dianfanguo",850,90,0.625,56.25
"280","dianfanguo",300,60,0.375,22.5
"281","diancilu",1250,60,0.375,22.5
"282","dianfanguo",300,20,0.375,7.5
"283","dianfanguo",300,4,0.375,1.5
"284","diancilu",NA,90,0.375,33.75
"285","diancilu",1250,90,0.375,33.75
"286","diancilu",1500,90,0.875,78.75
"287","dianfanguo",400,60,0.875,52.5
"288","dianfanguo",NA,60,0.875,52.5
"289","dianfanguo",400,30,0.625,18.75
"290","dianfanguo",1250,90,0.375,33.75
"291","dianfanguo",1250,60,0.375,22.5
"292","dianfanguo",850,30,0.625,18.75
"293","dianfanguo",600,60,0.375,22.5
"294","weibolu",1250,4,0.25,1
"295","dianfanguo",400,30,0.625,18.75
"296","dianfanguo",NA,60,0.375,22.5
"297","dianfanguo",850,60,1.5,90
"298","dianfanguo",NA,90,NA,NA
"299","diancilu",1500,60,0.375,22.5
"300","dianfanguo",600,30,0.375,11.25
"301","dianfanguo",NA,90,0.625,56.25
"302","diancilu",NA,90,0.625,56.25
"303","dianfanguo",850,12,0.625,7.5
"304","dianshuihu",NA,90,0.375,33.75
"305","dianfanguo",NA,30,0.625,18.75
"306","dianfanguo",NA,90,0.375,33.75
"307","diancilu",1250,12,0.625,7.5
"308","diancilu",600,12,0.625,7.5
"309","dianfanguo",NA,90,0.375,33.75
"310","diancilu",1500,12,0.875,10.5
"311","dianfanguo",1250,60,0.375,22.5
"312","dianfanguo",1250,60,0.625,37.5
"313","dianfanguo",NA,30,0.375,11.25
"314","dianfanguo",600,20,0.625,12.5
"315","diancilu",850,90,0.625,56.25
"316","dianshuihu",NA,90,0.25,22.5
"317","dianfanguo",850,90,0.375,33.75
"318","diancilu",600,90,0.625,56.25
"319","dianfanguo",NA,60,0.625,37.5
"320","dianfanguo",300,90,1.5,135
"321","dianfanguo",850,60,0.625,37.5
"322","dianfanguo",600,30,0.375,11.25
"323","diancilu",600,60,0.375,22.5
"324","diancilu",850,60,0.25,15
"325","diancilu",1500,90,0.625,56.25
"326","diancilu",1500,90,0.25,22.5
"327","dianfanguo",400,12,0.375,4.5
"328","diancilu",850,90,0.375,33.75
"329","diancilu",1500,90,0.875,78.75
"330","dianfanguo",600,12,0.375,4.5
"331","dianfanguo",850,90,0.375,33.75
"332","diancilu",300,20,0.375,7.5
"333","dianfanguo",300,30,0.625,18.75
"334","diancilu",600,90,0.625,56.25
"335","diancilu",850,90,0.625,56.25
"336","dianfanguo",600,90,0.625,56.25
"337","diancilu",1500,90,3,270
"338","dianfanguo",850,90,0.375,33.75
"339","diancilu",1500,90,0.375,33.75
"340","diancilu",1500,90,0.625,56.25
"341","diancilu",400,60,0.375,22.5
"342","dianshuihu",1500,60,0.25,15
"343","diancilu",1500,60,0.625,37.5
"344","dianfanguo",1250,60,0.375,22.5
"345","dianfanguo",600,90,0.375,33.75
"346","dianfanguo",600,60,0.375,22.5
"347","diancilu",1500,60,0.25,15
"348",NA,NA,90,0.375,33.75
"349","diancilu",1500,90,0.625,56.25
"350","diancilu",1500,90,0.375,33.75
"351","gaoyaguo",NA,60,0.625,37.5
"352","diancilu",1500,90,0.375,33.75
"353","diancilu",1250,90,0.875,78.75
"354","weibolu",1500,60,0.375,22.5
"355","dianfanguo",1500,90,0.375,33.75
"356","diancilu",850,90,0.875,78.75
"357","diancilu",NA,30,0.25,7.5
"358","diancilu",1500,90,0.625,56.25
"359","diancilu",1500,90,0.375,33.75
"360","diancilu",1500,90,0.375,33.75
"361","diancilu",1500,60,0.625,37.5
"362","diancilu",NA,90,0.375,33.75
"363","dianfanguo",850,60,0.625,37.5
"364","diancilu",850,90,0.625,56.25
"365","diancilu",1500,90,0.625,56.25
"366","diancilu",1500,30,0.625,18.75
"367","diancilu",1500,90,0.875,78.75
"368","diancilu",1500,90,1.5,135
"369","dianfanguo",300,90,0.375,33.75
"370","dianfanguo",400,60,0.375,22.5
"371","diancilu",1250,90,0.875,78.75
"372","diancilu",1250,90,0.625,56.25
"373","diancilu",1500,90,0.375,33.75
"374","diancilu",1250,90,1.5,135
"375","dianfanguo",300,90,0.625,56.25
"376","diancilu",1500,60,0.375,22.5
"377","diancilu",1500,60,0.375,22.5
"378","diancilu",1500,90,0.625,56.25
"379","diancilu",1500,90,0.625,56.25
"380","diancilu",1500,90,0.375,33.75
"381","dianfanguo",600,60,0.625,37.5
"382","diancilu",NA,NA,0.375,NA
"383","diancilu",1500,90,0.375,33.75
"384","diancilu",1500,90,0.625,56.25
"385","diancilu",1500,60,0.625,37.5
"386","dianfanguo",850,90,0.375,33.75
"387","dianfanguo",850,60,0.625,37.5
"388","diancilu",1500,90,0.625,56.25
"389","diancilu",400,90,0.875,78.75
"390","diancilu",NA,NA,0.875,NA
"391","diancilu",1250,90,0.375,33.75
"392","diancilu",1500,90,0.375,33.75
"393","diancilu",1500,90,0.625,56.25
"394","dianfanguo",850,90,0.375,33.75
"395","diancilu",1500,90,0.375,33.75
"396","diancilu",400,60,0.625,37.5
"397","diancilu",1500,30,0.625,18.75
"398","diancilu",1500,90,0.375,33.75
"399","dianshuihu",1500,60,0.375,22.5
"400","dianshuihu",1500,90,0.25,22.5
"401","dianfanguo",NA,90,0.625,56.25
"402","dianfanguo",NA,90,0.625,56.25
"403","dianfanguo",1250,90,0.625,56.25
"404","dianfanguo",600,60,0.375,22.5
"405","diancilu",1250,90,0.875,78.75
"406","dianfanguo",NA,60,0.625,37.5
"407","dianfanguo",850,90,0.375,33.75
"408","dianfanguo",850,60,0.625,37.5
"409","diancilu",400,90,1.5,135
"410","diancilu",1500,60,0.375,22.5
"411","diancilu",1500,90,0.625,56.25
"412","dianfanguo",NA,60,0.625,37.5
"413","dianfanguo",850,60,0.875,52.5
"414","dianfanguo",600,60,0.375,22.5
"415","diancilu",600,90,0.875,78.75
"416","diancilu",1250,90,0.375,33.75
"417","diancilu",1250,90,0.875,78.75
"418","dianfanguo",1250,60,0.875,52.5
"419","diancilu",1500,90,0.625,56.25
"420","diancilu",1250,60,0.375,22.5
"421","dianfanguo",850,90,0.625,56.25
"422","dianfanguo",850,30,0.625,18.75
"423","dianfanguo",1250,90,0.875,78.75
"424","diancilu",1500,90,0.625,56.25
"425","diancilu",1500,90,0.625,56.25
"426","diancilu",300,90,0.875,78.75
"427","diancilu",1500,12,0.875,10.5
"428","dianfanguo",NA,60,0.625,37.5
"429","diancilu",1500,60,0.875,52.5
"430","dianfanguo",850,90,0.625,56.25
"431","diancilu",1250,90,0.625,56.25
"432","diancilu",1500,90,0.875,78.75
"433","diancilu",1500,90,1.5,135
"434","diancilu",1500,90,0.625,56.25
"435","diancilu",1500,90,0.875,78.75
"436","diancilu",1250,90,0.625,56.25
"437","diancilu",600,90,0.625,56.25
"438","diancilu",1500,90,0.625,56.25
"439","diancilu",1250,90,0.375,33.75
"440","diancilu",850,90,0.625,56.25
"441","diancilu",600,90,0.875,78.75
"442","dianshuihu",1500,30,0.25,7.5
"443","diancilu",1250,90,0.625,56.25
"444","gaoyaguo",600,30,0.625,18.75
"445","diancilu",1500,90,0.375,33.75
"446","diancilu",1500,90,0.25,22.5
"447","diancilu",1500,90,0.875,78.75
"448","diancilu",1250,90,0.875,78.75
"449","dianshuihu",NA,90,0.375,33.75
"450","diancilu",1250,90,1.5,135
"451","dianfanguo",300,90,0.875,78.75
"452","diancilu",1250,60,0.625,37.5
"453","diancilu",850,90,0.625,56.25
"454","diancilu",1500,60,0.625,37.5
"455","dianfanguo",300,90,0.875,78.75
"456","dianfanguo",1250,30,0.625,18.75
"457","dianfanguo",1500,60,1.5,90
"458","diancilu",1250,60,0.875,52.5
"459","diancilu",1500,60,0.625,37.5
"460","diancilu",1250,90,0.875,78.75
"461","diancilu",850,90,0.625,56.25
"462","diancilu",1250,30,0.375,11.25
"463","diancilu",1250,60,0.625,37.5
"464","dianshuihu",300,90,0.375,33.75
"465","diancilu",1500,90,0.375,33.75
"466","diancilu",400,90,0.625,56.25
"467","diancilu",1500,90,0.875,78.75
"468","diancilu",1250,90,0.375,33.75
"469","diancilu",NA,90,0.875,78.75
"470","diancilu",1500,90,1.5,135
"471","diancilu",850,90,0.625,56.25
"472","diancilu",1250,90,0.625,56.25
"473","diancilu",1500,60,0.625,37.5
"474","dianfanguo",1250,90,0.625,56.25
"475","gaoyaguo",NA,90,0.375,33.75
"476","diancilu",850,90,0.375,33.75
"477","diancilu",1250,90,0.375,33.75
"478","diancilu",1250,90,3,270
"479","diancilu",600,60,0.375,22.5
"480","diancilu",400,90,0.875,78.75
"481","diancilu",1500,60,0.625,37.5
"482","diancilu",1250,90,0.625,56.25
