"","kinds","efficiency","frequency","time","totaltime"
"483","diancilu",1500,60,0.375,22.5
"484","gaoyaguo",600,12,0.625,7.5
"485","diancilu",1500,90,0.375,33.75
"486","diancilu",850,90,0.875,78.75
"487","diancilu",1500,90,0.625,56.25
"488","diancilu",400,90,0.375,33.75
"489","diancilu",1250,60,0.625,37.5
"490","diancilu",1250,90,0.375,33.75
"491","dianfanguo",1250,60,1.5,90
"492","diancilu",600,90,0.375,33.75
"493","diancilu",1250,90,0.625,56.25
"494","diancilu",400,90,0.875,78.75
"495","diancilu",600,90,0.375,33.75
"496","diancilu",1500,90,0.625,56.25
"497","diancilu",600,90,0.625,56.25
"498","diancilu",1500,90,0.875,78.75
"499","dianfanguo",850,60,0.375,22.5
"500","diancilu",1250,90,0.375,33.75
"501","diancilu",1250,60,0.625,37.5
"502","diancilu",400,90,0.375,33.75
"503","diancilu",600,90,0.625,56.25
"504","diancilu",1500,90,0.875,78.75
"505","diancilu",1250,90,0.625,56.25
"506","diancilu",1500,60,0.375,22.5
"507","diancilu",1500,90,0.25,22.5
"508","diancilu",400,90,0.625,56.25
"509","dianfanguo",850,60,0.375,22.5
"510","diancilu",1250,90,0.375,33.75
"511","dianfanguo",1250,90,0.625,56.25
"512","diancilu",1250,90,0.375,33.75
"513","diancilu",400,90,0.375,33.75
"514","diancilu",1500,90,0.625,56.25
"515","diancilu",600,90,0.375,33.75
"516","diancilu",600,90,0.375,33.75
"517","diancilu",1500,90,0.625,56.25
"518","diancilu",NA,60,0.625,37.5
"519","diancilu",1500,90,0.375,33.75
"520","diancilu",1500,90,0.875,78.75
"521","diancilu",1250,90,0.375,33.75
"522","dianfanguo",850,30,0.625,18.75
"523","diancilu",1500,90,0.375,33.75
"524","dianshuihu",600,90,0.25,22.5
"525","dianshuihu",NA,30,0.375,11.25
"526","dianfanguo",850,90,0.375,33.75
"527","dianshuihu",1250,20,0.25,5
"528","diancilu",400,60,0.625,37.5
"529","dianfanguo",1250,30,0.875,26.25
"530","dianfanguo",600,90,0.375,33.75
"531","dianfanguo",600,60,0.375,22.5
"532","dianfanguo",850,60,1.5,90
"533","dianfanguo",400,60,0.625,37.5
"534","dianfanguo",600,60,0.875,52.5
"535","dianfanguo",850,30,0.625,18.75
"536","dianfanguo",600,90,0.375,33.75
"537","dianfanguo",850,60,0.375,22.5
"538","diancilu",NA,12,0.625,7.5
"539","dianfanguo",1500,90,0.875,78.75
"540","diancilu",1250,60,0.375,22.5
"541","dianfanguo",600,90,0.625,56.25
"542","diancilu",1500,90,0.375,33.75
"543","dianfanguo",300,60,0.625,37.5
"544","dianfanguo",850,90,0.375,33.75
"545","dianfanguo",NA,12,0.625,7.5
"546","dianfanguo",600,60,1.5,90
"547","dianfanguo",850,60,0.25,15
"548","dianfanguo",850,60,0.625,37.5
"549","dianfanguo",1250,90,0.375,33.75
"550","diancilu",1500,30,0.625,18.75
"551","dianfanguo",600,90,0.625,56.25
"552","diancilu",300,60,0.625,37.5
"553","dianfanguo",1500,30,0.375,11.25
"554","diancilu",1500,4,0.25,1
"555","dianfanguo",850,60,0.375,22.5
"556","diancilu",1250,90,0.375,33.75
"557","diancilu",NA,90,0.375,33.75
"558","weibolu",850,60,0.625,37.5
"559","dianfanguo",300,90,0.625,56.25
"560","diancilu",1500,60,0.375,22.5
"561","diancilu",1500,90,0.875,78.75
"562","diancilu",1500,60,0.875,52.5
"563","diancilu",1500,90,0.375,33.75
"564","dianfanguo",300,60,0.375,22.5
"565","dianfanguo",600,60,0.875,52.5
"566","diancilu",1250,60,0.375,22.5
"567","diancilu",400,60,0.375,22.5
"568","diancilu",1250,60,0.625,37.5
"569","diancilu",600,60,0.875,52.5
"570","diancilu",1500,90,0.375,33.75
"571","dianfanguo",1500,60,0.625,37.5
"572","diancilu",1250,60,0.875,52.5
"573","dianfanguo",1500,90,1.5,135
"574","diancilu",NA,90,0.625,56.25
"575","dianfanguo",1250,60,0.625,37.5
"576","dianfanguo",850,60,0.375,22.5
"577","diancilu",1500,60,0.25,15
"578","diancilu",1500,60,0.375,22.5
"579","diancilu",1250,90,0.625,56.25
"580","dianfanguo",600,60,0.375,22.5
"581","dianfanguo",400,60,0.375,22.5
"582","dianfanguo",NA,90,1.5,135
"583","diancilu",1500,90,0.375,33.75
"584","dianfanguo",300,30,0.375,11.25
"585","diancilu",1250,60,0.625,37.5
"586","diancilu",1500,90,0.625,56.25
"587","diancilu",300,60,0.625,37.5
"588","diancilu",NA,30,0.375,11.25
"589","diancilu",600,90,0.375,33.75
"590","dianfanguo",850,30,0.375,11.25
"591","diancilu",1500,90,0.875,78.75
"592","dianfanguo",400,90,0.375,33.75
"593","dianfanguo",NA,60,0.25,15
"594","gaoyaguo",850,60,0.625,37.5
"595","dianfanguo",400,90,0.625,56.25
"596","dianfanguo",600,90,0.375,33.75
"597","dianfanguo",300,60,0.625,37.5
"598","dianfanguo",600,30,0.875,26.25
"599","dianfanguo",400,60,0.625,37.5
"600","diancilu",1500,60,0.375,22.5
"601","dianfanguo",600,60,0.375,22.5
"602","dianfanguo",850,90,0.375,33.75
"603","dianfanguo",NA,60,0.625,37.5
"604","diancilu",1250,90,0.625,56.25
"605","dianfanguo",400,20,0.375,7.5
"606","dianfanguo",NA,12,0.875,10.5
"607","dianfanguo",600,60,0.875,52.5
"608","diancilu",1500,90,0.375,33.75
"609","dianfanguo",400,60,0.625,37.5
"610","diancilu",1250,60,0.625,37.5
"611","diancilu",1500,60,0.375,22.5
"612","dianshuihu",NA,90,0.25,22.5
"613","diancilu",1250,90,0.25,22.5
"614","dianshuihu",NA,90,0.25,22.5
"615","dianshuihu",1500,90,0.25,22.5
"616","diancilu",1500,30,0.625,18.75
"617","dianfanguo",1250,60,0.875,52.5
"618","dianfanguo",NA,60,0.625,37.5
"619","dianshuihu",NA,90,0.25,22.5
"620","dianfanguo",NA,60,0.625,37.5
"621","diancilu",600,30,0.375,11.25
"622","dianfanguo",1250,60,0.625,37.5
"623","diancilu",NA,60,0.625,37.5
"624","diancilu",1250,4,0.625,2.5
"625","diancilu",1500,30,0.625,18.75
"626","gaoyaguo",1250,30,0.625,18.75
"627","dianshuihu",1250,90,0.25,22.5
"628","dianfanguo",600,30,0.375,11.25
"629","diancilu",NA,20,0.375,7.5
"630","dianfanguo",400,60,0.625,37.5
"631","dianfanguo",NA,60,0.625,37.5
"632","diancilu",1250,60,0.375,22.5
"633","dianshuihu",NA,90,0.25,22.5
"634","dianshuihu",300,30,0.25,7.5
"635","dianfanguo",600,20,0.25,5
"636","dianfanguo",600,30,1.5,45
"637","diancilu",NA,60,1.5,90
"638","dianfanguo",600,60,0.375,22.5
"639","dianfanguo",NA,60,0.875,52.5
"640","dianfanguo",600,4,0.375,1.5
"641","diancilu",600,30,0.375,11.25
"642","gaoyaguo",NA,60,1.5,90
"643","diancilu",1500,90,1.5,135
"644","dianshuihu",300,90,1.5,135
"645","diancilu",1250,60,0.625,37.5
"646","diancilu",300,60,0.625,37.5
"647","dianfanguo",300,90,0.375,33.75
"648","dianfanguo",1250,90,0.375,33.75
"649","dianfanguo",NA,90,0.375,33.75
"650","dianshuihu",1500,90,0.25,22.5
"651","dianfanguo",300,90,0.375,33.75
"652","dianfanguo",1250,90,0.875,78.75
"653","gaoyaguo",400,90,0.375,33.75
"654","dianfanguo",NA,30,0.375,11.25
"655","dianfanguo",850,90,0.375,33.75
"656","dianfanguo",NA,90,0.25,22.5
"657","diancilu",1500,90,0.625,56.25
"658","dianfanguo",NA,90,0.375,33.75
"659","dianfanguo",400,90,0.375,33.75
"660","gaoyaguo",1250,60,0.625,37.5
"661","dianfanguo",600,60,0.625,37.5
"662","diancilu",1500,90,0.625,56.25
"663","diancilu",1250,90,0.625,56.25
"664","dianfanguo",400,90,0.625,56.25
"665","dianfanguo",300,20,0.375,7.5
"666","dianfanguo",850,60,0.25,15
"667","dianfanguo",1250,60,0.375,22.5
"668","diancilu",1500,90,1.5,135
"669","diancilu",1500,30,0.375,11.25
"670","diancilu",NA,30,0.375,11.25
"671","dianfanguo",600,60,0.625,37.5
"672","gaoyaguo",400,60,0.375,22.5
"673","diancilu",400,90,0.625,56.25
"674","dianfanguo",850,90,1.5,135
"675","dianfanguo",850,60,0.625,37.5
"676","dianfanguo",NA,90,0.625,56.25
"677","dianfanguo",400,60,0.375,22.5
"678","diancilu",1250,90,0.875,78.75
"679","dianfanguo",300,60,0.375,22.5
"680","diancilu",400,60,0.625,37.5
"681","dianfanguo",1250,90,0.375,33.75
"682","diancilu",1500,90,0.375,33.75
"683","diancilu",1500,90,0.625,56.25
"684","dianfanguo",850,60,0.625,37.5
"685","diancilu",1500,60,0.625,37.5
"686","dianfanguo",850,60,0.375,22.5
"687","diancilu",850,60,0.375,22.5
"688","diancilu",1250,12,1.5,18
"689","dianfanguo",NA,90,0.625,56.25
"690","diancilu",850,60,0.875,52.5
"691","dianfanguo",600,90,0.625,56.25
"692","diancilu",400,90,0.625,56.25
"693","dianfanguo",600,60,0.375,22.5
"694","dianfanguo",NA,NA,0.625,NA
"695","dianfanguo",850,30,0.875,26.25
"696","dianfanguo",850,90,0.875,78.75
"697","diancilu",850,30,0.875,26.25
"698","dianfanguo",NA,90,0.625,56.25
"699","diancilu",1500,90,0.625,56.25
"700","dianfanguo",600,90,0.625,56.25
"701","dianfanguo",400,60,0.375,22.5
"702","dianfanguo",NA,NA,0.375,NA
"703","dianfanguo",850,90,0.375,33.75
"704","dianfanguo",400,60,0.875,52.5
"705","diancilu",NA,90,0.625,56.25
"706","dianfanguo",850,90,0.375,33.75
"707","diancilu",600,60,0.875,52.5
"708","diancilu",850,60,0.875,52.5
"709","dianfanguo",NA,60,0.875,52.5
"710","diancilu",600,90,0.875,78.75
"711","dianfanguo",NA,30,0.625,18.75
"712","diancilu",600,30,0.875,26.25
"713","diancilu",400,30,0.875,26.25
"714","dianfanguo",850,90,0.875,78.75
"715","diancilu",600,30,0.625,18.75
"716","dianfanguo",600,30,0.625,18.75
"717","dianfanguo",600,60,0.375,22.5
"718","diancilu",600,30,0.625,18.75
"719","dianfanguo",850,30,0.625,18.75
"720","diancilu",850,90,0.875,78.75
"721","dianfanguo",600,90,0.625,56.25
"722","diancilu",NA,90,0.625,56.25
"723","dianfanguo",850,60,0.375,22.5
"724","dianfanguo",600,60,0.625,37.5
"725","dianfanguo",NA,60,0.625,37.5
"726","diancilu",1250,20,0.875,17.5
"727","dianfanguo",300,60,0.875,52.5
"728","diancilu",1500,90,0.625,56.25
"729","diancilu",600,20,0.375,7.5
"730","diancilu",1250,12,0.625,7.5
"731","diancilu",1500,60,0.375,22.5
"732","diancilu",1500,90,0.875,78.75
"733","diancilu",1250,90,0.625,56.25
"734","diancilu",850,60,0.625,37.5
"735","diancilu",1250,60,0.375,22.5
"736","diancilu",1250,60,0.375,22.5
"737","diancilu",1250,60,0.625,37.5
"738","diancilu",1250,90,0.625,56.25
"739","diancilu",1250,60,0.625,37.5
"740","diancilu",1250,90,0.375,33.75
"741","diancilu",1250,12,0.25,3
"742","diancilu",NA,60,0.625,37.5
"743","diancilu",1500,60,0.375,22.5
"744","diancilu",1250,60,0.375,22.5
"745","dianfanguo",NA,60,0.875,52.5
"746","diancilu",1250,60,0.375,22.5
"747","diancilu",1250,60,0.25,15
"748","diancilu",1250,60,0.375,22.5
"749","diancilu",1500,60,0.625,37.5
"750","diancilu",600,90,0.875,78.75
"751","diancilu",1250,90,0.375,33.75
"752","diancilu",1500,90,1.5,135
"753","diancilu",1500,60,0.375,22.5
"754","diancilu",NA,90,0.625,56.25
"755","diancilu",1250,60,0.375,22.5
"756","diancilu",1250,90,0.375,33.75
"757","diancilu",850,60,0.375,22.5
"758","diancilu",1500,90,0.875,78.75
"759","diancilu",850,90,0.375,33.75
"760","diancilu",1250,90,0.375,33.75
"761","diancilu",1500,90,0.625,56.25
"762","diancilu",NA,60,0.375,22.5
"763","diancilu",1500,90,1.5,135
"764","diancilu",1500,90,1.5,135
"765","dianfanguo",NA,60,0.375,22.5
"766","diancilu",1250,60,0.875,52.5
"767","diancilu",1250,90,0.875,78.75
"768","diancilu",1500,90,0.625,56.25
"769","diancilu",1250,90,0.625,56.25
"770","diancilu",850,90,0.625,56.25
"771","diancilu",1500,60,1.5,90
"772","diancilu",850,90,0.375,33.75
"773","diancilu",1500,90,0.375,33.75
"774","diancilu",1250,60,0.375,22.5
"775","dianfanguo",850,60,0.625,37.5
"776","diancilu",850,90,0.625,56.25
"777","diancilu",1250,90,0.375,33.75
"778","diancilu",1250,60,0.875,52.5
"779","diancilu",1500,90,0.875,78.75
"780","diancilu",1500,60,1.5,90
"781","dianfanguo",850,60,0.875,52.5
"782","diancilu",850,90,0.875,78.75
"783","dianfanguo",NA,NA,0.625,NA
"784","diancilu",1500,60,0.25,15
"785","diancilu",NA,20,0.375,7.5
"786","dianfanguo",NA,NA,0.875,NA
"787","diancilu",1500,90,0.875,78.75
"788","diancilu",850,90,0.25,22.5
"789","diancilu",1500,90,1.5,135
"790","diancilu",1500,60,0.375,22.5
"791","dianfanguo",850,60,0.625,37.5
"792","dianfanguo",1250,60,0.625,37.5
"793","diancilu",1500,90,1.5,135
"794","diancilu",1250,90,0.375,33.75
"795","diancilu",1250,60,0.375,22.5
"796","diancilu",1500,90,0.625,56.25
"797","diancilu",1500,90,1.5,135
"798","diancilu",1500,90,1.5,135
"799","diancilu",1250,60,0.625,37.5
"800","diancilu",400,90,0.625,56.25
"801","diancilu",850,60,0.375,22.5
"802","dianfanguo",1250,90,0.625,56.25
"803","dianfanguo",1500,30,1.5,45
"804","diancilu",1500,90,0.625,56.25
"805","diancilu",NA,90,0.375,33.75
"806","diancilu",NA,60,0.625,37.5
"807","diancilu",1250,90,0.625,56.25
"808","diancilu",1250,90,0.625,56.25
"809","dianfanguo",850,60,0.625,37.5
"810","diancilu",1250,60,0.375,22.5
"811","dianfanguo",NA,60,0.625,37.5
"812","diancilu",1500,90,0.875,78.75
"813","dianfanguo",850,60,0.625,37.5
"814","diancilu",1500,90,0.375,33.75
"815","diancilu",NA,90,0.875,78.75
"816","dianfanguo",1250,90,1.5,135
"817","diancilu",1500,90,1.5,135
"818","dianfanguo",1250,60,0.625,37.5
"819","diancilu",1500,90,0.875,78.75
"820","dianfanguo",NA,60,0.625,37.5
"821","dianshuihu",300,90,0.25,22.5
"822","dianfanguo",850,90,0.625,56.25
"823","diancilu",NA,60,0.625,37.5
"824","dianfanguo",850,90,6,540
"825","diancilu",NA,NA,0.625,NA
"826","diancilu",NA,90,0.625,56.25
"827","diancilu",1500,90,0.625,56.25
"828",NA,300,20,0.25,5
"829","diancilu",1500,90,0.625,56.25
"830","diancilu",1500,90,1.5,135
"831","dianfanguo",1250,60,0.625,37.5
"832","diancilu",1250,90,0.375,33.75
"833","diancilu",1250,90,0.625,56.25
"834","dianfanguo",1250,90,0.625,56.25
"835","dianfanguo",NA,60,0.375,22.5
"836","diancilu",1500,60,0.375,22.5
"837","dianfanguo",1250,60,0.625,37.5
"838","dianfanguo",850,60,0.625,37.5
"839","diancilu",NA,NA,0.625,NA
"840","dianfanguo",850,90,0.375,33.75
"841","dianfanguo",1500,60,0.375,22.5
"842","weibolu",850,20,0.625,12.5
"843","diancilu",850,90,0.875,78.75
"844","dianfanguo",850,90,0.375,33.75
"845","diancilu",1500,60,0.875,52.5
"846","diancilu",850,60,0.625,37.5
"847","diancilu",1250,90,0.625,56.25
"848","diancilu",1500,90,0.375,33.75
"849","dianfanguo",600,60,0.375,22.5
"850","dianfanguo",600,90,0.375,33.75
"851","diancilu",1500,60,0.625,37.5
"852","diancilu",1500,60,1.5,90
"853","diancilu",NA,60,0.875,52.5
"854","dianfanguo",850,60,0.375,22.5
"855","diancilu",850,60,0.875,52.5
"856","diancilu",NA,90,0.625,56.25
"857","dianfanguo",1250,60,0.375,22.5
"858","dianfanguo",1250,60,0.625,37.5
"859","dianfanguo",1250,60,0.875,52.5
"860","diancilu",1500,90,NA,NA
"861","dianfanguo",400,60,0.375,22.5
"862","diancilu",NA,90,0.875,78.75
"863","diancilu",600,90,0.875,78.75
"864","dianfanguo",600,60,0.875,52.5
"865","dianfanguo",600,90,0.625,56.25
"866","diancilu",1500,90,0.875,78.75
"867","dianfanguo",1250,60,0.625,37.5
"868","diancilu",1500,60,0.375,22.5
"869","dianfanguo",NA,60,0.625,37.5
"870","diancilu",1500,90,0.625,56.25
"871","dianfanguo",850,60,0.375,22.5
"872","diancilu",1250,60,0.625,37.5
"873","diancilu",600,30,0.875,26.25
"874","diancilu",600,60,0.625,37.5
"875","dianfanguo",600,60,0.625,37.5
"876","diancilu",1500,60,0.625,37.5
"877","diancilu",850,90,1.5,135
"878","diancilu",1500,60,0.625,37.5
"879","diancilu",1250,60,0.375,22.5
"880","dianfanguo",400,60,0.625,37.5
"881","diancilu",850,90,0.875,78.75
"882","diancilu",1500,90,0.625,56.25
"883",NA,300,8,0.375,3
"884","diancilu",1500,60,0.625,37.5
"885","diancilu",1250,90,0.625,56.25
"886","dianfanguo",1500,90,0.625,56.25
"887","gaoyaguo",NA,20,0.625,12.5
"888","diancilu",1500,90,0.625,56.25
"889","diancilu",1250,90,1.5,135
"890","gaoyaguo",NA,60,0.375,22.5
"891","diancilu",1500,60,0.375,22.5
"892","diancilu",600,60,0.375,22.5
"893","diancilu",1500,60,0.625,37.5
"894","diancilu",1500,90,0.625,56.25
"895","diancilu",1500,90,0.625,56.25
"896","diancilu",1500,90,0.625,56.25
"897","dianfanguo",600,60,0.625,37.5
"898","dianshuihu",300,12,0.375,4.5
"899",NA,300,20,0.375,7.5
"900","diancilu",1250,60,0.625,37.5
"901","diancilu",NA,60,0.375,22.5
"902","diancilu",NA,90,0.875,78.75
"903","dianfanguo",1500,90,0.375,33.75
"904","diancilu",1500,60,1.5,90
"905","dianfanguo",600,60,0.375,22.5
"906","diancilu",1500,90,0.625,56.25
"907","dianfanguo",1500,90,0.875,78.75
"908","diancilu",850,60,1.5,90
"909","diancilu",400,12,0.875,10.5
"910","dianfanguo",850,60,0.375,22.5
"911","diancilu",1250,60,1.5,90
"912","dianfanguo",850,60,0.375,22.5
"913","dianfanguo",850,60,0.25,15
"914","dianfanguo",400,30,1.5,45
"915","dianfanguo",1250,60,0.25,15
"916","dianfanguo",1500,12,0.625,7.5
"917","diancilu",1250,60,0.625,37.5
"918","diancilu",1250,60,0.375,22.5
"919","dianfanguo",1500,60,0.625,37.5
"920","diancilu",1250,8,0.375,3
"921","diancilu",1250,60,0.625,37.5
"922","diancilu",1500,90,1.5,135
"923","dianfanguo",1500,12,0.25,3
"924","dianfanguo",400,90,0.625,56.25
"925","diancilu",850,20,0.375,7.5
"926",NA,300,8,0.375,3
"927","diancilu",1500,90,0.625,56.25
"928","diancilu",400,60,0.625,37.5
"929","diancilu",850,90,0.875,78.75
"930","dianfanguo",1250,90,0.375,33.75
"931","diancilu",400,60,1.5,90
"932","diancilu",1500,90,0.375,33.75
"933","diancilu",1500,90,0.625,56.25
"934","gaoyaguo",600,20,1.5,30
"935","diancilu",1500,90,1.5,135
"936","diancilu",1500,90,0.375,33.75
"937","dianfanguo",600,60,0.375,22.5
"938","diancilu",850,20,0.625,12.5
"939","diancilu",1500,90,0.625,56.25
"940","diancilu",1500,90,0.625,56.25
"941","dianfanguo",600,60,0.625,37.5
"942","dianfanguo",850,60,0.625,37.5
"943","diancilu",400,60,1.5,90
"944","dianfanguo",850,30,0.375,11.25
"945","diancilu",850,60,0.625,37.5
"946","dianfanguo",1500,60,0.625,37.5
"947","dianshuihu",1500,60,0.25,15
"948","dianfanguo",400,30,0.375,11.25
"949","dianfanguo",600,60,0.875,52.5
"950","dianshuihu",300,60,0.25,15
"951","dianfanguo",850,8,0.375,3
"952","dianfanguo",600,30,0.375,11.25
"953","diancilu",600,60,0.875,52.5
"954","diancilu",1250,60,0.625,37.5
"955","diancilu",400,90,0.625,56.25
"956","dianfanguo",850,60,0.625,37.5
"957","diancilu",1250,60,0.625,37.5
"958","dianfanguo",400,60,0.625,37.5
"959","diancilu",400,60,0.375,22.5
"960","diancilu",300,30,0.625,18.75
"961","dianfanguo",400,30,0.375,11.25
"962","diancilu",1250,90,0.875,78.75
"963","dianfanguo",400,90,0.625,56.25
"964","dianshuihu",1250,90,0.25,22.5
